Row names;ağız kuruluğu;göğüs ağrısı;kol ağrısı;sık idara çıkma;karın ağrısı;mide ağrısı;mide eksimesi;gastrit;ishal;kabızlık;terleme;tansiyon;baş ağrısı;baş dönmesi; bulantı; kulak çınlaması;burun kanaması;kalp ağrıları;boğaz ağrısı;burun akıntısı;Nezle;saman Nezlesi;işitme kaybı;Kulaktan kan gelmesi;burundan kan gelmesi;burun eğriliği;bburunda şekil bozukluğu;horlama;kulak iltihabı;sinüzit;tükürük bezi hastalıkları;uçuk;kulak ağrısı;uzun süreli kulak akıntısı;çene eklem hastalıkları;aft;grip;sarılık;taşıyıcı sarılık;iştahsızlık;idrar renginde koyulaşma;göz beyazlarında sararma;halsizlik;yorgunluk; İshal;kabakulak;hayvan ısırması yada tırmalaması;büyük dışkıda,Tenya yada parazit;"paslı metal batması
";öksürük;balgam;ateş;kene sokması;Ayaklarda bacaklara kızarıklık,şişlik,ağrı;nefes darlığı;halisizlik;kilo kaybı;gece terlemesi;balgamdan kan gelmesi;hırıltılı solunum şikayetleri;göğüste tam yeri belli olmayan sıkışma hissi; sol kola ve çeneye doğru ağrı;ağrı hareket etmekle artar, dinlenirken azalır, fakat geçmez.;Ağrı yarım saatten uzun süre; soğuk terleme;Deri kanserleri;İyileşmeyen yada geç iyilesen yaralar;deri yanıkları;yanık izleri;yarık dudak;yarık damak;meme büyütme yada küçültme;göz kapağı hasarları;et benleri;yağ bezesi;Kulak şekil  bozuklukları;deri aşıları;yağ alma/verme;deri gençleştirme (;deri kırışıklıkları için botoks uygulamaları;doğumsal hasarlar;görme güçlüğü;arpacık;gözde kızarıklık yanma hissi;göz kuruluğu;gözde ani ortaya çıkan sinek uçuşmaları,ışık çakmaları;gözde çapaklanma;göz ağrısı,batma;depresyon;gereksiz korkular;sosyalleşme bozukluğu;kekemelik;davranış bozukluğu;uyku bozukluğu;huzursuzluk;tedirginlik;kaygı bozukluğu;sosyal fobi;kişilik bozuklukları;alkol,madde kullanımı,bağımlılığı;öğrenme güçlüğü,;dikkat eksikliği;hiperaktivite;panik atak;şizofreni;bipolar bozukluk;psikiyatrik hastalıklarda tedaviler;karşı gelme bozukluğu;zeka geriliği ;idrar koyulaşmasa disinda idrar problemleri;böbrek taşı;cinsel ya da cinsel organ Problemleri;prostat;bel soğukluğu;cilt problemleri;kaşıntı;ağız içi yaraları;ayak,koltuk altı terlemeleri;tırnak bozuklukları;kıl ö sac dönmesi,aşırı kıllanma;saç dökülmesi;hafıza kaybı;unutkanlık;kol ve bacaklarda uyuşma hissi;ellerde titreme,;vucutta uyuşukluk;felç;kasılma;bunama;çift görme;yüz ağrısı;dengesizlik;istemsiz hareketler;vücutta seğirme;eklem veya kas ağrıları;Romatizma;bağ kopmaları;lif kopmaları;kemik kırıkları;topuk dikeni;ayak bileği burkulmaları;bacak el boyun fıtık kalça ağrıları;Düşmelere bağlı kol ve bacak ağrıları;Bacak Bel Boyun Fıtık Kalça ağrıları;Düşmelere bağlı kol ve bacak ağrıları;siyatik;karaciğer;kalın bağırsak;ince bağırsak;memede sertlik;Memede ağrı;memede ağrı;hemoroid;basur;gangren;kasıkta ağrı ve şişlik;göbek bölgesinde ağrı ve şişlik;büyük dışkı ile gelen kan;karın bölgesinde şişlik buna bağlı ağrı; bağırsak gazları ve karında doygunluk duygusu;sırt ağrıları; sinirlilik;aşırı heyecan;duygusallık;vücut sıcaklığında artma,;nabız problemleri )yüksek yada düşük;sıcağa tahammülsüzlük;bağırsak hareketlerinde artma,;adet düzensizliği;İştah kaybı,; kusma ;kalp atışlarında hızlanma;uyuşukluk ve uyku hali;sersemlik hissi;kuru cilt;ciltte soğukluk;kilo alma;tek gözde büyüme;kolesterol yüksekliği;çocuklarda boy kısalığı ve gelişme geriliği ;hamile kalmada zorluk;reflekslerde azalma,;konuşmada ağırlaşma; göz kapakları ve bacaklarda şişlik,;terlemede azalma;ses problemleri
dahiliye;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
kbb;;;;;;;;;;;1;;;1;;1;;;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
intaniye;;;;;1;;;;;;;;;;1;;;;;;;;;;;;;;;;;;;;;;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
hariciye;;;;;1;1;;;1;1;1;1;;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;1;1;;;;;;;;1;;;;;1;;;;;;;;;;;;;;;;;1;1;;;;;;;;;;;;;;1;;;;;;;;;;;;;;;;;;;;;;;;;;1;;;;;1;;;;;1;;;;;1;;;;;;;;;;;;;;;;;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1
nöröloji;;;;;;;;;;;;;1;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1;1;1;1;1;1;1;1;1;1;1;1;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
cildiye;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1;1;;;;;;;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1;1;1;1;1;1;1;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1;;;;;;;;;;;
ortopedi;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1;1;1;1;1;1;1;1;1;1;1;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
bevliye;;;;1;;;;;;;;;;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1;1;1;1;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
psikiyatri;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
göz;;;;;;;;;;;;;1;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1;1;1;1;1;1;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
kardiyoloji;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1;;;;;;1;1;1;1;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
plastik;;;;;;;;;;;;;;;;;;;;;;;;;;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1;1;1;1;1;1;1;1;1;;1;1;1;1;1;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
göğüs;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1;1;;;;1;1;1;1;1;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
